Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SM,gs,rs,LW_up,Rn,LH,delta,psy_const,Cinterim,Cactual,Cfinal,Dcanopy,lambdaEi (C=Cactual),lambdaET,lambdaE,H,Ts
40.5,16.5,496.87832926664043,303.51349994824284,20.8093538806747,4.465188770432687,0.0023426340050028624,0,8.142385056056131,0.38114881238953324,2.4580303359552094,2.0768815235656763,293.9793538806747,0.8556070264768257,0.44435267266097866,0.9976021649410185,0.9586426272140322,31.55394132047489,5.45390435754284,183.3548838488492,-368.52026118752457,372.24616851536183,2451869.115487727,0.15119997007474975,0.06722058536050067,0.0,0.0,0.0,0.0,1455.0607837758982,215.97589729946736,1671.0366810753655,-1298.7905125600037,285.4919242380483
41.5,17.5,301.35921120210173,295.9653544924746,19.089819907087158,4.00839556684887,0.002470877757681094,0,9.070284035221205,0.4020141946580816,2.209736815821144,1.8077226211630624,292.25981990708715,0.7213013052566533,0.5071185157291682,0.9986303335751389,0.9573101260137054,31.303823222686145,5.245354578258985,190.64488111915506,-362.89686187506646,198.26459847525769,2455928.935199367,0.13775613548124874,0.0671094651022704,0.0,0.0,0.0,0.0,1212.150154194478,170.63118710455873,1382.7813412990367,-1184.5167428237792,283.63703537279173
42.5,18.5,98.94292650391611,292.47416227404483,18.28335296152627,3.524443434701774,0.0026507409301951604,0,10.315752540916348,0.4312781063275727,2.10104977018532,1.6697716638577473,291.45335296152626,0.3971711697387962,0.5403547099746947,0.9940197073459511,0.9562289097847254,31.174486322691184,3.05988271788854,326.809911423679,-353.2296077683237,26.314329829167292,2457833.003657836,0.13180842411529234,0.0670574758029259,0.0,0.0,0.0,0.0,1014.1691793876678,88.30236149955873,1102.4715408872264,-1076.1572110580591,282.5436735223673
43.5,19.5,0.0,279.9411917873236,15.327369826055989,3.8223772348328646,0.002209920488585735,0,9.51169496969613,0.3595561952489974,1.7416224819210897,1.3820662866720923,288.497369826056,0.0,0.6119976871860239,0.9493158037917226,0.9556591112169078,31.174450243599765,0.0001,1000000.0,-345.9526568830524,-66.0114650957288,2464812.079840682,0.11183176395310374,0.0668676036272393,0.0,0.0,0.0,0.0,1013.1237584586711,0.024702272322457634,1013.1484607309935,-1079.1599258267224,280.2592298426021
44.5,20.5,0.0,277.7170815652063,14.792476050186812,3.4967227311988336,0.0022650030131659187,0,10.397531949688174,0.3685181751324614,1.68269491937634,1.3141767442438788,287.9624760501868,0.0,0.6293618893042466,0.9365583811376463,0.9556589512387212,31.174415958985065,0.0001,1000000.0,-337.7963313164623,-60.079249751255986,2466074.9640455088,0.1085069533771321,0.06683336053176707,0.0,0.0,0.0,0.0,898.1653388033822,0.02348567498906466,898.1888244783712,-958.2680742296272,279.96592477917443
45.5,21.5,0.0,270.5389254484087,13.04392838310694,3.352931671597327,0.002515476704623529,0,10.843431921032932,0.4092704863471079,1.5020802033265352,1.0928097169794273,286.213928383107,0.0,0.6871978453602843,0.8848730800259972,0.9556587992168835,31.174387639162344,0.0001,1000000.0,-331.6177866754618,-61.078861227053096,2470203.2850874844,0.09821796930658605,0.06672166544567644,0.0,0.0,0.0,0.0,761.3201405762156,0.01943214419976958,761.3395727204154,-822.4184339474684,279.0566973466525
46.5,22.5,0.0,271.19695242752493,13.205657785012761,3.216158519794919,0.002221848649734662,0,11.304569128999,0.36149691857419264,1.5180395304704244,1.1565426118962319,286.3756577850128,0.0,0.6703556435973602,0.8902952255468455,0.9556586736432111,31.174357573663993,0.0001,1000000.0,-328.7843268379396,-57.58737441041467,2469821.441969585,0.09913338981303668,0.06673198085080341,0.0,0.0,0.0,0.0,768.5399678939343,0.020626781246510663,768.5605946751808,-826.1479690855955,278.88021494252587
47.5,23.5,0.0,269.1887779309227,12.711164163002934,3.027559771396015,0.0020398191109232675,0,12.008775734285944,0.3318805370183837,1.469705887229737,1.1378253502113533,285.88116416300295,0.0,0.6752859015092028,0.8733054408147163,0.9556585403286032,31.174328049723965,0.0001,1000000.0,-326.2325725649305,-57.04379463400778,2470988.94141115,0.09635706945348362,0.06670045114661406,0.0,0.0,0.0,0.0,724.0200507083043,0.020264813698742824,724.0403155220031,-781.0841101560109,278.3531230804278
48.5,0.5,0.0,269.4312808439805,12.771024743809054,2.436243468225368,0.0024133223142253734,0,14.923502839937624,0.39264986848811545,1.4754840661216853,1.0828341976335698,285.94102474380907,0.0,0.6898479694182241,0.8754271708312104,0.9556584094149504,31.17430031930882,0.0001,1000000.0,-324.59167617825307,-55.16039533427255,2470847.6105798665,0.09668959261507834,0.06670426636782284,0.0,0.0,0.0,0.0,553.3119085574752,0.01903267499993007,553.3309412324752,-608.4913365667478,278.65298696715655
49.5,1.5,0.0,270.2339248349845,12.968865468641798,2.399144936881654,0.0019896238081950506,0,15.154268405349871,0.32371371284459666,1.494723233062109,1.1710095202175124,286.1388654686418,0.0,0.6665540799255846,0.8823120823565112,0.9556582864537083,31.17427019319132,0.0001,1000000.0,-324.0613772493503,-53.82745241436578,2470380.5086285365,0.09779554906425819,0.06671687887544003,0.0,0.0,0.0,0.0,585.2498293869105,0.020673048186422644,585.2705024350969,-639.0979548494627,278.3658801757431
50.5,2.5,0.0,266.6130069227198,12.072838700492092,2.3537394932111977,0.0023101744263735215,0,15.446605888928966,0.37586760763504884,1.409314537856278,1.033446930221229,285.2428387004921,0.0,0.7030240310161726,0.8495661214335418,0.9556581528691399,31.174243869337197,0.0001,1000000.0,-324.0910191884909,-57.4780122657711,2472496.027828138,0.0928713135003505,0.06665979452156852,0.0,0.0,0.0,0.0,522.5457126798369,0.018079340208928048,522.5637920200459,-580.041804285817,278.05202886260713
51.5,3.5,0.0,264.6069464952386,11.57248695346099,2.2053008499927875,0.0022135677700360953,0,16.486315831674247,0.36014961145924895,1.3635116764779582,1.0033620650187092,284.742486953461,0.0,0.7110958192761098,0.8295336957155964,0.9556580361441547,31.17421845032257,0.0001,1000000.0,-322.6947576400877,-58.08781114484907,2473677.358302878,0.09021464409157547,0.06662796044003644,0.0,0.0,0.0,0.0,483.4867458881166,0.017466233597091804,483.5042121217137,-541.5920232665628,277.5764124685229
52.5,4.5,0.0,263.40855743133085,11.272225792250687,2.2234237489960123,0.0020329185791369254,0,16.351937561725652,0.3307578138402843,1.336657832523505,1.0059000186832208,284.4422257922507,0.0,0.7104135563684024,0.8169112515229532,0.9556579234311087,31.174192894520452,0.0001,1000000.0,-320.86804152569295,-57.4594840943621,2474386.274904496,0.08865168596953214,0.06660887139651607,0.0,0.0,0.0,0.0,493.6725868819419,0.017565257223056133,493.690152139165,-551.1496362335271,277.2091304713746
