Total Hour,Hour,SR_down,LW_down,Ta,wind_speed,q,precip,ra,e,e_sat,VPD,gR,gD,gT,Lambda,delta,psy_const,gSM,gS,rs,LW_up,Rn,Cinterim,Cactual,Dcanopy,lambdaEi,Cfinal,lambdaEt,lambdaET,H,Ts,SMlast,SMnew
46.5,22.5,0,271.2,13.21,3.22,2.22,0,11.291082707093405,0.36119614147909973,1.5184700605013797,1.15727391902228,0.0,0.6701632824094946,0.8904389999999998,2469811.19,0.09915806735592915,0.06673225784940184,0.9564315710423071,0.0001,1000000.0,-361.6740608954469,-90.47406089544694,0.0,0.0,0.0,0.0,0.0,0.020089522072173824,0.020089522072173824,-90.49415041751911,285.55994772279684,31.35023099392732,31.350201711413842
47.5,23.5,0,269.2,12.71,3.03,2.04,0,11.999104394996952,0.3319099678456592,1.4695937109724109,1.1376837431267517,0.0,0.6753232525482102,0.8732639999999998,2470991.69,0.09635061223789901,0.06670037695287354,0.9564314434628095,0.0001,1000000.0,-357.6862742369607,-88.4862742369607,0.0,0.0,0.0,0.0,0.0,0.01971807663967686,0.01971807663967686,-88.50599231360037,285.0276716174659,31.350201711413842,31.350172984050577
48.5,0.5,0,269.4,12.77,2.44,2.41,0,14.9005271790331,0.39210932475884247,1.4753849828467724,1.08327565808793,0.0,0.6897306098437165,0.8753909999999999,2470850.03,0.09668389199576238,0.06670420105198292,0.9564313183016546,0.0001,1000000.0,-356.84393958369816,-87.44393958369818,0.0,0.0,0.0,0.0,0.0,0.018345630906516565,0.018345630906516565,-87.4622852146047,284.89405728939994,31.350172984050577,31.350146254677906
49.5,1.5,0,270.2,12.97,2.4,1.99,0,15.14886929868365,0.32377491961414795,1.4948341934243479,1.1710592738102,0.0,0.6665410195730291,0.8823510000000014,2470377.83,0.09780192216640617,0.06671695121649387,0.9564312018451461,0.0001,1000000.0,-355.1793317241409,-84.97933172414093,0.0,0.0,0.0,0.0,0.0,0.01998253689064579,0.01998253689064579,-84.99931426103159,285.10656995464007,31.350146254677906,31.35011713478704
50.5,2.5,0,266.6,12.07,2.35,2.31,0,15.471185666740748,0.37583922829581995,1.4090509146703718,1.033211686374552,0.0,0.7030870136713705,0.8494560000000004,2472502.73,0.09285605521831418,0.06665961382797665,0.9564310749730965,0.0001,1000000.0,-355.3762318104225,-88.77623181042247,0.0,0.0,0.0,0.0,0.0,0.01739873796162212,0.01739873796162212,-88.7936305483841,284.137468884792,31.35011713478704,31.350091801971065
51.5,3.5,0,264.6,11.57,2.21,2.21,0,16.451260776851022,0.3595691318327975,1.3632873237120555,1.003718191879258,0.0,0.7110000690585458,0.8294310000000005,2473683.23,0.09020160287632664,0.06662780228752976,0.9564309646006007,0.0001,1000000.0,-353.49900777224053,-88.89900777224051,0.0,0.0,0.0,0.0,0.0,0.01678968179481143,0.01678968179481143,-88.91579745403531,283.5660122704853,31.350091801971065,31.35006736761596
52.5,4.5,0,263.4,11.27,2.22,2.03,0,16.377155998576917,0.3302829581993569,1.336460516852367,1.0061775586530102,0.0,0.7103389618047277,0.8168159999999999,2474391.53,0.08864018674019801,0.06660872993305875,0.9564308581423425,0.0001,1000000.0,-349.6838307469116,-86.28383074691163,0.0,0.0,0.0,0.0,0.0,0.016940543641425655,0.016940543641425655,-86.30077129055306,283.3056721207852,31.35006736761596,31.350042720765867
53.5,5.5,99,268.1,12.44,2.25,2.01,0,16.158793918595897,0.3270289389067524,1.4437792491244752,1.1167503102177228,0.39732441471571905,0.6808531486152154,0.8634697500000006,2471629.16,0.09486293009745109,0.06668317393148818,0.9564307507579993,3.351124940474717,298.4072565967478,-347.6372358589617,7.5827641410383535,0.0,0.0,0.0,0.0,0.0,62.33394695702508,62.33394695702508,-54.75118281598672,284.8999517011189,31.350042720765867,31.25925150795897
54.5,6.5,301,267.9,12.4,2.26,2.25,0,16.087294830460518,0.3660771704180064,1.4399889496967868,1.0739117792787805,0.7209580838323353,0.692221527445215,0.8619877499999997,2471723.5999999996,0.09464420525868417,0.06668062609040025,0.9560333790968933,6.169081754482291,162.09867850647734,-350.93711911633915,181.84288088366083,0.0,0.0,0.0,0.0,0.0,120.48172751372809,120.48172751372809,61.36115336993274,286.3622495087434,31.25925150795897,31.083773060834293
55.5,7.5,497,277.0,14.61,2.49,2.16,0,14.601319805960145,0.3514340836012862,1.662996042550035,1.3115619589487488,0.8556671449067432,0.6300341792738022,0.9318790000000007,2466505.79,0.10739210472354896,0.0668216867110691,0.9552550506395516,7.198451680366374,138.91876258994404,-358.546684724164,355.81331527583603,0.0,0.0,0.0,0.0,0.0,185.3570453041384,185.3570453041384,170.45626997169762,289.77751724394886,31.083773060834293,30.813234323078117
56.5,8.5,672,285.5,16.65,2.68,2.35,0,13.566151610761477,0.38234726688102894,1.895165337530265,1.512818070649236,0.9247706422018349,0.5790486040934593,0.9747189999999999,2461689.35,0.1204266552355287,0.06695242727130375,0.9540280030724584,7.469316571355735,133.88105731586268,-371.01344424374815,505.84655575625186,0.0,0.0,0.0,0.0,0.0,235.6551040520672,235.6551040520672,270.19145170418466,292.7618038649995,30.813234323078117,30.468609858343182
57.5,9.5,815,285.3,16.61,2.84,2.2,0,12.801861379169281,0.35794212218649524,1.8903534306024494,1.5324113084159543,0.9635467980295567,0.5741671322613628,0.9740790000000004,2461783.7899999996,0.1201587364801746,0.06694985881372549,0.9524160797093665,7.6988046369171705,129.89029429384632,-387.75378307731404,614.746216922686,0.0,0.0,0.0,0.0,0.0,257.40542766425364,257.40542766425364,357.3407892584324,293.4514799069089,30.468609858343182,30.092191935958816
58.5,10.5,917,297.8,19.51,3.16,2.67,0,11.50547035343062,0.434411575562701,2.268289216576538,1.8338776410138369,0.9851387645478962,0.5008986010507511,0.9997440000000001,2454936.89,0.14094397659627686,0.0671365841793261,0.9505907977413549,7.034300199526536,142.16055209973948,-397.56936312626493,707.1906368737351,0.0,0.0,0.0,0.0,0.0,287.4622101330284,287.4622101330284,419.7284267407067,296.5557718523883,30.092191935958816,29.670647919615934
